,DEMREL02,DEMID01,DEMSN01,RELPCG02,RELOCG02,SIBIND02,CH02PRWT,PCGRES02,OCGRES02,ASMRES02,CHRES02,TDRES02,CCDRES02,EMSRES02,IWER02,SBLNUM03,SBLNUM01,BIOPR03,BIOPR01,BIOGPR03,BIOGPR01,PCGEMS02
2804,6,7090,3,1,0,1,5.743,1,0,1,1,1,1,0,2087,1,1,2,2,2,2,0
2805,6,7093,2,1,4,5,19.223,1,5,1,5,1,0,5,2035,0,0,0,2,0,0,1
2806,6,7098,3,1,10,1,22.555,1,5,5,5,5,5,0,2059,1,1,2,2,0,0,5
2807,6,7098,4,1,10,1,22.64,1,5,5,5,5,5,0,2059,1,1,2,2,0,0,5
2808,6,7113,4,1,5,1,24.873,1,1,1,1,1,1,0,2054,2,2,2,2,2,2,0
2809,6,7113,5,1,5,1,24.71,1,1,1,1,1,1,0,2054,2,2,2,2,2,2,0
2810,6,7114,6,1,4,1,35.956,1,5,1,0,1,5,5,2012,0,0,1,1,0,0,1
2811,6,7117,4,2,4,1,41.549,1,1,1,1,1,1,0,2029,3,3,3,3,0,0,0
2812,6,7117,5,1,4,1,39.459,1,1,1,1,1,1,1,2029,4,4,1,1,0,0,1
2813,6,7125,2,1,4,5,8.585,1,5,5,5,5,5,0,2030,3,0,3,2,0,0,5
2814,6,7133,3,1,4,5,12.308,1,1,1,5,1,1,5,2044,1,1,1,1,2,2,1
2815,6,7136,4,1,4,1,35.172,1,1,1,1,1,0,0,2086,2,2,1,1,2,2,0
2816,6,7136,5,1,4,1,34.605,1,1,1,1,1,0,1,2086,2,2,1,1,2,2,1
2817,6,7141,5,7,1,5,4.434,1,1,1,1,1,1,1,2094,2,0,0,0,1,1,1
2818,6,7142,3,3,0,5,4.139,1,0,5,5,5,5,0,2102,96,96,4,4,0,0,5
2819,6,7144,2,1,0,5,1.407,1,0,1,1,1,1,5,2073,1,1,2,2,2,2,1
2820,6,7149,4,1,4,5,21.991,1,1,1,1,1,1,0,2029,1,1,1,1,0,0,0
2821,6,7154,3,1,7,5,4.766,1,1,1,1,1,1,1,2073,0,0,2,2,1,1,1
2822,6,7155,2,1,0,1,1.303,1,0,1,1,1,1,0,2075,1,1,2,2,2,2,0
2823,6,7155,3,1,0,1,1.277,1,0,1,1,1,1,0,2075,1,1,2,2,2,2,0
2824,6,7158,4,4,1,5,2.858,1,1,1,1,1,1,0,2069,96,1,1,1,2,2,0
2825,6,7162,2,1,13,5,2.696,1,1,1,5,1,1,1,2068,0,9,2,2,2,2,1
2826,6,7163,5,1,4,5,22.223,1,5,5,5,5,5,0,2088,0,2,0,1,0,0,5
2827,6,7164,3,1,4,1,12.269,1,5,5,5,1,0,0,2006,4,4,1,1,2,2,0
2828,6,7164,7,1,4,1,9.51,1,5,5,5,1,0,0,2006,4,4,1,1,2,2,0
2829,6,7166,2,4,9,5,1.815,1,5,1,0,1,1,5,2054,96,96,3,3,2,2,1
2830,6,7174,3,1,4,1,44.688,1,1,1,1,1,1,1,2012,1,1,1,1,2,2,1
2831,6,7174,4,1,4,1,43.649,1,1,1,1,1,1,5,2012,1,1,1,1,2,2,1
2832,6,7184,3,1,0,1,4.188,1,0,1,1,1,5,5,2049,0,0,2,2,2,2,1
2833,6,7184,4,1,0,1,4.134,1,0,1,5,1,1,5,2049,0,0,2,2,1,2,1
2834,6,7185,2,1,0,5,19.625,1,0,1,1,1,1,0,2019,0,0,2,2,0,0,0
2835,6,7192,3,1,4,5,22.395,1,1,1,5,1,1,1,2014,0,0,1,1,0,0,1
2836,6,7193,3,1,4,5,36.165,1,1,1,5,1,1,5,2072,1,1,1,1,0,2,1
2837,6,7203,4,4,1,5,2.155,1,1,1,1,1,1,0,2046,1,1,1,1,0,2,0
2838,6,7211,3,3,6,1,3.748,1,1,1,1,1,1,0,2008,0,0,4,4,0,0,0
2839,6,7211,4,1,4,1,2.894,1,1,1,5,1,1,1,2008,0,0,1,1,2,2,1
2840,6,7214,3,1,4,5,40.768,1,1,1,5,1,1,1,2001,2,2,1,1,2,2,1
2841,6,7218,2,4,0,1,18.089,1,0,1,1,1,1,5,2105,1,1,3,3,0,0,1
2842,6,7218,3,4,0,1,17.897,1,0,1,1,1,1,1,2105,1,1,3,3,0,0,1
2843,6,7220,4,1,4,5,13.794,1,1,1,1,1,1,0,2075,1,1,1,1,0,0,0
2844,6,7221,2,1,0,5,1.525,1,0,1,0,1,1,1,2075,1,1,2,2,2,2,1
2845,6,7222,3,1,4,1,4.827,1,5,1,1,1,1,5,2094,2,2,2,1,0,0,1
2846,6,7222,4,1,5,1,6.248,1,5,1,1,1,1,5,2094,2,2,2,2,0,0,1
2847,6,7226,3,1,4,1,22.326,1,1,1,1,1,1,0,2034,1,1,1,1,2,2,0
2848,6,7226,4,1,4,1,21.661,1,1,1,1,1,1,0,2034,1,1,1,1,2,2,0
2849,6,7232,3,1,4,1,60.02,1,5,1,1,1,5,0,2107,0,2,0,1,0,0,0
2850,6,7232,4,1,4,1,60.674,1,5,1,1,1,5,5,2107,0,2,0,1,0,0,1
2851,6,7235,3,1,4,1,13.401,1,1,1,1,1,0,0,2016,1,1,1,1,2,2,0
2852,6,7235,4,1,4,1,13.313,1,1,1,1,1,0,0,2016,1,1,1,1,2,2,0
2853,6,7239,3,1,0,5,6.58,1,0,1,1,1,1,0,2098,0,0,2,2,0,0,0
2854,6,7250,2,4,7,1,19.286,1,1,1,1,1,1,5,2068,1,1,3,3,2,2,1
2855,6,7250,3,4,7,1,19.178,1,1,1,5,1,1,1,2068,1,1,3,3,2,2,1
2856,6,7260,4,4,1,1,67.038,1,1,1,1,1,1,0,2105,1,1,1,1,0,0,0
2857,6,7260,5,4,1,1,67.038,1,1,1,1,1,1,1,2105,1,1,1,1,0,0,1
2858,6,7261,3,1,0,1,5.071,1,0,1,1,1,1,0,2102,2,2,2,2,0,0,0
2859,6,7261,4,1,0,1,4.874,1,0,1,1,1,1,0,2102,2,2,2,2,0,0,0
2860,6,7270,2,1,10,1,13.389,1,1,1,1,1,1,0,2101,1,1,2,2,0,0,0
2861,6,7270,3,1,10,1,13.206,1,1,1,1,1,1,1,2101,1,1,2,2,0,0,1
2862,6,7276,3,4,1,5,5.158,1,5,5,5,5,0,0,2064,0,0,0,1,0,2,5
2863,6,7279,3,1,0,5,12.595,1,0,1,0,1,1,1,2067,1,0,2,2,2,2,1
2864,6,7283,2,1,14,5,22.637,1,1,1,1,1,1,1,2014,1,9,2,2,2,2,1
2865,6,7286,3,1,4,1,3.366,1,1,1,1,1,1,5,2081,2,1,1,1,2,2,1
2866,6,7286,4,1,4,1,2.742,1,1,1,1,1,1,5,2081,2,1,1,1,2,2,1
2867,6,7295,2,1,0,5,3.914,1,0,1,1,1,1,0,2093,0,0,2,2,2,2,0
2868,6,7300,3,1,4,5,32.036,1,5,1,0,1,0,0,2057,1,0,1,1,2,2,5
2869,6,7301,2,1,0,1,4.277,1,0,1,1,1,1,5,2091,1,1,2,2,0,0,1
2870,6,7301,3,1,0,1,5.828,1,0,1,1,1,1,5,2091,1,1,2,2,0,0,1
2871,6,7304,3,4,0,5,14.415,1,0,1,1,1,1,1,2086,2,2,3,2,2,2,1
2872,6,7306,2,1,5,5,2.713,1,5,1,5,1,1,1,2062,1,1,2,2,2,2,1
2873,6,7307,2,1,7,1,5.204,1,5,1,1,5,1,0,2102,3,3,2,2,2,2,0
2874,6,7307,3,1,7,1,6.43,1,5,1,1,5,1,5,2102,3,3,2,2,2,2,1
2875,6,7309,3,1,0,5,3.785,1,0,1,1,1,1,0,2026,96,96,2,2,0,0,0
2876,6,7312,2,1,0,5,1.033,1,0,1,1,1,1,5,2008,1,1,2,2,2,2,1
2877,6,7324,4,1,4,5,14.142,1,1,1,5,1,1,1,2014,3,3,1,1,2,2,1
2878,6,7331,2,1,0,5,33.082,1,0,1,1,1,5,0,2047,0,0,2,2,0,0,5
2879,6,7335,3,7,8,1,35.666,1,1,1,1,1,1,1,2028,2,2,4,4,1,1,1
2880,6,7335,4,7,8,1,35.272,1,1,1,1,1,1,1,2028,2,2,4,4,1,1,1
2881,6,7337,3,4,1,5,16.146,1,1,1,1,1,1,1,2014,0,0,1,1,2,2,1
2882,6,7338,3,1,4,1,4.836,1,5,1,1,1,1,5,2057,2,2,2,2,2,2,1
2883,6,7338,4,1,4,1,3.952,1,5,1,5,1,1,1,2057,2,2,1,1,2,2,1
2884,6,7360,3,1,4,1,25.191,1,1,1,1,1,1,0,2001,10,1,6,1,4,2,0
2885,6,7360,4,1,4,1,24.945,1,1,1,1,1,1,0,2001,9,1,1,1,2,2,0
2886,6,7364,2,1,0,5,2.584,1,0,1,1,5,1,1,2114,0,0,2,2,1,1,1
2887,6,7370,2,7,0,5,67.038,1,0,1,5,1,1,5,2105,96,1,4,2,1,0,1
2888,6,7377,3,1,5,1,4.194,1,1,1,1,1,1,0,2041,1,1,2,2,0,0,0
2889,6,7377,4,1,5,1,4.18,1,1,1,1,1,1,1,2041,1,1,2,2,0,0,1
2890,6,7378,4,1,0,1,3.16,1,0,1,1,1,5,0,2041,2,2,2,2,0,0,0
2891,6,7378,5,1,0,1,2.962,1,0,1,5,1,5,5,2041,0,0,2,5,2,1,1
2892,6,7384,3,1,4,1,14.282,1,1,1,1,1,1,5,2047,1,1,1,1,2,2,1
2893,6,7384,4,1,4,1,14.313,1,1,1,1,1,1,1,2047,1,1,1,1,2,2,1
2894,6,7396,3,1,0,5,5.008,1,0,1,1,1,0,0,2098,2,2,2,2,0,0,0
2895,6,7397,2,1,4,5,16.681,1,1,1,1,1,1,1,2034,1,1,1,2,2,2,1
2896,6,7404,1,4,0,5,3.395,1,0,1,1,5,1,0,2046,0,0,4,4,0,0,0
2897,6,7411,2,1,0,5,12.283,1,0,1,1,1,1,0,2061,0,0,2,2,0,2,0
2898,6,7415,2,1,0,5,3.231,1,0,1,1,1,1,1,2075,96,96,2,2,0,0,1
2899,6,7423,4,1,0,1,5.662,1,0,1,1,1,1,0,2060,3,3,2,2,2,3,0
2900,6,7423,5,1,0,1,5.63,1,0,1,1,1,1,0,2060,3,3,2,2,2,3,0
2901,6,7424,3,7,0,1,1.033,1,0,1,5,1,1,1,2093,3,3,4,4,1,1,1
2902,6,7424,4,7,0,1,1.033,1,0,1,0,1,1,1,2093,3,3,4,4,1,1,1
2903,6,7429,3,1,4,1,16.496,1,1,1,1,1,1,1,2046,1,1,1,1,0,0,1
2904,6,7429,4,1,4,1,16.462,1,1,1,0,1,1,1,2046,1,1,1,1,0,0,1
2905,6,7438,2,4,7,5,13.787,1,5,1,5,5,1,1,2002,1,1,3,3,2,2,1
2906,6,7443,2,17,0,5,3.84,1,0,1,1,1,1,0,2105,0,96,4,4,2,2,0
